timestamp,active_streams,total_packets,total_reconnects,error_streams,cpu_percent,memory_mb,disk_read_mb,disk_write_mb
2026-08-10T03:32:13,5,53,0,0,5.0,59,0.0,0.0
2026-08-10T03:32:13,5,87,0,0,5.0,44,0.0,0.0
2026-08-10T03:32:13,5,146,0,0,6.0,37,0.0,0.0
2026-08-10T03:32:13,5,166,0,0,6.0,37,0.0,0.0
2026-08-10T03:32:13,5,186,0,0,6.0,37,0.0,0.0
2026-08-10T03:32:13,5,201,0,0,6.0,37,0.0,0.0
2026-08-10T03:32:13,5,221,0,0,3.0,37,0.0,0.0
2026-08-10T03:32:14,5,241,0,0,3.0,37,0.0,0.2
2026-08-10T03:32:14,5,251,0,0,3.0,37,0.0,0.0
2026-08-10T03:32:14,5,276,0,0,3.5,37,0.0,0.0
2026-08-10T03:32:14,5,291,0,0,3.5,37,0.0,0.0
2026-08-10T03:32:14,5,311,0,0,3.5,37,0.0,0.0
2026-08-10T03:32:14,5,321,0,0,3.5,38,0.0,0.0
2026-08-10T03:32:14,5,341,0,0,4.0,38,0.0,0.0
2026-08-10T03:32:14,5,366,0,0,2.6,38,0.0,0.0
2026-08-10T03:32:15,5,381,0,0,2.6,38,0.0,0.2
2026-08-10T03:32:15,5,396,0,0,2.6,38,0.0,0.0
2026-08-10T03:32:15,5,411,0,0,3.0,38,0.0,0.0
2026-08-10T03:32:15,5,436,0,0,3.0,38,0.0,0.0
2026-08-10T03:32:15,5,451,0,0,3.0,38,0.0,0.0
2026-08-10T03:32:15,5,471,0,0,3.0,38,0.0,0.0
2026-08-10T03:32:15,5,486,0,0,3.0,38,0.0,0.0
2026-08-10T03:32:15,5,501,0,0,2.2,38,0.0,0.0
2026-08-10T03:32:16,5,526,0,0,2.2,38,0.0,0.2
2026-08-10T03:32:16,5,541,0,0,2.2,38,0.0,0.0
2026-08-10T03:32:16,5,561,0,0,2.2,38,0.0,0.0
2026-08-10T03:32:16,5,576,0,0,2.2,38,0.0,0.0
2026-08-10T03:32:16,5,596,0,0,2.5,38,0.0,0.0
2026-08-10T03:32:16,5,611,0,0,2.5,38,0.0,0.0
2026-08-10T03:32:16,5,631,0,0,2.5,38,0.0,0.0
2026-08-10T03:32:16,5,646,0,0,2.7,38,0.0,0.0
2026-08-10T03:32:16,5,666,0,0,2.2,38,0.0,0.0
2026-08-10T03:32:17,5,681,0,0,2.2,38,0.0,0.2
2026-08-10T03:32:17,5,701,0,0,2.2,38,0.0,0.0
