timestamp,active_streams,total_packets,total_reconnects,error_streams,cpu_percent,memory_mb,disk_read_mb,disk_write_mb
2026-08-10T03:32:56,10,460,0,0,5.5,53,0.0,0.0
2026-08-10T03:32:56,10,490,0,0,5.5,53,0.0,0.0
2026-08-10T03:32:56,10,530,0,0,6.0,53,0.0,0.0
2026-08-10T03:32:56,10,570,0,0,6.0,53,0.0,0.0
2026-08-10T03:32:56,10,610,0,0,6.0,53,0.0,0.0
2026-08-10T03:32:56,10,640,0,0,4.3,54,0.0,0.0
2026-08-10T03:32:57,10,680,0,0,4.3,54,0.0,0.2
2026-08-10T03:32:57,10,710,0,0,4.3,54,0.0,0.0
2026-08-10T03:32:57,10,740,0,0,4.3,54,0.0,0.0
2026-08-10T03:32:57,10,770,0,0,4.6,54,0.0,0.0
2026-08-10T03:32:57,10,820,0,0,4.6,54,0.0,0.0
2026-08-10T03:32:57,10,850,0,0,4.6,54,0.0,0.0
2026-08-10T03:32:57,10,880,0,0,5.0,54,0.0,0.0
2026-08-10T03:32:57,10,920,0,0,5.0,54,0.0,0.0
2026-08-10T03:32:57,10,960,0,0,3.7,54,0.0,0.0
2026-08-10T03:32:58,10,1000,0,0,3.7,54,0.0,0.2
2026-08-10T03:32:58,10,1030,0,0,4.0,54,0.0,0.0
2026-08-10T03:32:58,10,1060,0,0,4.0,54,0.0,0.0
2026-08-10T03:32:58,10,1100,0,0,4.0,54,0.0,0.0
2026-08-10T03:32:58,10,1140,0,0,4.2,55,0.0,0.0
2026-08-10T03:32:58,10,1180,0,0,4.2,55,0.0,0.0
2026-08-10T03:32:58,10,1210,0,0,4.2,55,0.0,0.0
2026-08-10T03:32:58,10,1250,0,0,3.4,55,0.0,0.0
2026-08-10T03:32:59,10,1270,0,0,3.4,55,0.0,0.2
2026-08-10T03:32:59,10,1320,0,0,3.4,55,0.0,0.0
2026-08-10T03:32:59,10,1340,0,0,3.6,55,0.0,0.0
2026-08-10T03:32:59,10,1390,0,0,3.6,55,0.0,0.0
2026-08-10T03:32:59,10,1410,0,0,3.8,56,0.0,0.0
