timestamp,active_streams,total_packets,total_reconnects,error_streams,cpu_percent,memory_mb,disk_read_mb,disk_write_mb
2026-08-10T03:33:42,50,3756,0,0,11.4,385,0.0,0.0
2026-08-10T03:33:42,50,3909,0,0,11.6,385,0.0,0.0
2026-08-10T03:33:42,50,4110,0,0,11.8,386,0.0,0.0
2026-08-10T03:33:42,50,4271,0,0,12.2,386,0.0,0.0
2026-08-10T03:33:42,50,4481,0,0,12.4,386,0.0,0.0
2026-08-10T03:33:42,50,4720,0,0,10.5,386,0.0,0.0
2026-08-10T03:33:43,50,4842,0,0,10.6,386,0.0,0.0
2026-08-10T03:33:43,50,5092,0,0,10.8,386,0.0,0.0
2026-08-10T03:33:43,50,5242,0,0,11.0,387,0.0,0.0
2026-08-10T03:33:43,50,5442,0,0,11.3,389,0.0,0.0
2026-08-10T03:33:43,50,5592,0,0,11.5,389,0.0,0.0
2026-08-10T03:33:43,50,5742,0,0,11.6,389,0.0,0.0
2026-08-10T03:33:43,50,5942,0,0,11.8,389,0.0,0.0
2026-08-10T03:33:43,50,6092,0,0,10.4,389,0.0,0.0
2026-08-10T03:33:44,50,6342,0,0,10.5,389,0.0,0.3
2026-08-10T03:33:44,50,6442,0,0,10.7,390,0.0,0.0
2026-08-10T03:33:44,50,6692,0,0,10.8,390,0.0,0.0
2026-08-10T03:33:44,50,6842,0,0,11.1,390,0.0,0.0
2026-08-10T03:33:44,50,7042,0,0,11.2,390,0.0,0.0
2026-08-10T03:33:44,50,7192,0,0,11.4,390,0.0,0.0
2026-08-10T03:33:44,50,7392,0,0,11.5,390,0.0,0.0
2026-08-10T03:33:44,50,7592,0,0,11.7,391,0.0,0.0
2026-08-10T03:33:44,50,7742,0,0,10.3,391,0.0,0.0
2026-08-10T03:33:45,50,7942,0,0,10.6,391,0.0,0.4
2026-08-10T03:33:45,50,8092,0,0,10.6,391,0.0,0.0
2026-08-10T03:33:45,50,8292,0,0,10.8,391,0.0,0.0
2026-08-10T03:33:45,50,8442,0,0,11.0,393,0.0,0.0
2026-08-10T03:33:45,50,8642,0,0,11.1,393,0.0,0.0
2026-08-10T03:33:45,50,8842,0,0,11.2,393,0.0,0.0
2026-08-10T03:33:45,50,8942,0,0,11.3,393,0.0,0.0
2026-08-10T03:33:45,50,9192,0,0,10.2,393,0.0,0.0
2026-08-10T03:33:46,50,9292,0,0,10.3,393,0.0,0.2
2026-08-10T03:33:46,50,9492,0,0,10.4,393,0.0,0.0
2026-08-10T03:33:46,50,9692,0,0,10.6,394,0.0,0.0
2026-08-10T03:33:46,50,9892,0,0,10.7,394,0.0,0.0
2026-08-10T03:33:46,50,10092,0,0,10.8,394,0.0,0.0
2026-08-10T03:33:46,50,10192,0,0,10.8,394,0.0,0.0
2026-08-10T03:33:46,50,10392,0,0,11.1,394,0.0,0.0
2026-08-10T03:33:46,50,10592,0,0,11.2,394,0.0,0.0
2026-08-10T03:33:46,50,10792,0,0,10.2,394,0.0,0.0
2026-08-10T03:33:47,50,10942,0,0,10.3,395,0.0,53.4
2026-08-10T03:33:47,50,11142,0,0,10.5,395,0.0,0.0
2026-08-10T03:33:47,50,11342,0,0,10.6,395,0.0,0.0
2026-08-10T03:33:47,50,11492,0,0,10.7,396,0.0,0.0
2026-08-10T03:33:47,50,11637,0,0,10.9,397,0.0,0.0
2026-08-10T03:33:47,50,11792,0,0,10.9,397,0.0,0.0
2026-08-10T03:33:47,50,12042,0,0,11.2,397,0.0,0.0
2026-08-10T03:33:47,50,12192,0,0,10.1,397,0.0,0.0
2026-08-10T03:33:48,50,12436,0,0,10.3,397,0.0,5.4
2026-08-10T03:33:48,50,12592,0,0,10.4,397,0.0,0.0
2026-08-10T03:33:48,50,12790,0,0,10.5,397,0.0,0.0
2026-08-10T03:33:48,50,12991,0,0,10.7,397,0.0,0.0
2026-08-10T03:33:48,50,13142,0,0,10.7,397,0.0,0.0
2026-08-10T03:33:48,50,13342,0,0,10.9,397,0.0,0.0
2026-08-10T03:33:48,50,13492,0,0,10.9,397,0.0,0.0
2026-08-10T03:33:48,50,13692,0,0,10.1,397,0.0,0.0
2026-08-10T03:33:49,50,13892,0,0,10.2,397,0.0,0.2
2026-08-10T03:33:49,50,14042,0,0,10.3,397,0.0,0.0
2026-08-10T03:33:49,50,14242,0,0,10.4,397,0.0,0.0
2026-08-10T03:33:49,50,14392,0,0,10.5,399,0.0,0.0
2026-08-10T03:33:49,50,14542,0,0,10.6,399,0.0,0.0
2026-08-10T03:33:49,50,14742,0,0,10.6,399,0.0,0.0
2026-08-10T03:33:49,50,14942,0,0,10.8,399,0.0,0.0
